code,name,industry,industry_standard,as_of,last_close,average_amount_20d,momentum_60d,revenue_yoy,profit_yoy,latest_week_end,sector_estimated_net_flow,sector_flow_to_amount,sector_score,rounded_bottom,rounded_score,rounded_r2,rounded_curvature,rounded_recovery,last_5d_return,accumulation_anomaly,accumulation_score,main_net_10d,main_positive_ratio,main_flow_zscore,volume_ratio,price_return_10d,revenue_yoy_w,profit_yoy_w,financial_growth,industry_financial_growth_mean,industry_momentum_mean,growth_metric,industry_growth_mean,growth_above_avg,growth_source,growth_percentile,composite_score,hard_signal,watch_signal
000507,珠海港,电力,申万二级行业,2026-09-24,4.93,50277825.45,0.04008438818565385,,,2026-09-25,-18953523287.00121,-0.17662275598445976,0.192,False,0.6869870410367168,0.6721941936036901,-0.033416668931007754,0.06479481641468676,-0.02182539682539686,False,0.15313728008379213,-110508828.55714355,0.2,-0.2423172257854371,0.9313728008379212,-0.03522504892367917,,,,,-0.008060053066341253,0.04008438818565385,-0.008060053066341253,True,60日价格动量(财报缺失后备),0.7129629629629629,0.46102117307270385,False,False
002372,伟星新材,装修建材,申万二级行业,2026-09-24,8.17,71384047.3,-0.046674445740956916,,,2026-09-25,-218682545.8916868,-0.012873357474594328,0.744,False,0.5208954417076292,0.30321710611688524,-0.06411913258530672,0.08788282290279636,0.016169154228855787,False,0.12377887899235474,-98186246.32346569,0.2,-0.09426975649168802,0.6377887899235474,-0.004872107186358221,,,,,-0.03264013061523504,-0.046674445740956916,-0.03264013061523504,False,60日价格动量(财报缺失后备),0.5,0.46101335226037743,False,False
300606,金太阳,通用设备,申万二级行业,2026-09-24,35.98,274926629.9,-0.14981096408317585,,,2026-09-25,-49822412132.50315,-0.21229061789135714,0.072,False,0.8059378690913394,0.07499359953136897,0.025485040328439824,0.34756554307116105,0.10131619222528299,False,0.4700148638860348,168133931.59690535,0.5,0.12954236659808227,1.0446977989426494,0.09829059829059816,,,,,-0.06461437824679259,-0.14981096408317585,-0.06461437824679259,False,60日价格动量(财报缺失后备),0.3492822966507177,0.46100565086158996,False,False
688366,昊海生科,医疗器械,申万二级行业,2026-09-24,29.91,11751281.4,-0.024143556280587175,,,2026-09-25,-3565314336.123314,-0.04244535130772576,0.392,False,0.6079116866512182,0.4917139481951903,-0.044834841936561405,0.038181187087816815,0.034232365145228094,False,0.43797513426631063,6920816.411074007,0.6,-0.06276364982381062,0.5797513426631059,0.03494809688581313,,,,,0.058591334861658115,-0.024143556280587175,0.058591334861658115,False,60日价格动量(财报缺失后备),0.3629032258064516,0.460993096013556,False,False
000967,盈峰环境,环保设备Ⅱ,申万二级行业,2026-09-24,8.15,446101582.25,-0.20487804878048776,,,2026-09-25,-1361521318.9502258,-0.11421107370514945,0.576,False,0.4564738448613687,0.01809221279836104,0.012588128181711107,0.19152046783625742,0.011166253101736912,False,0.4892337507373432,663934082.9179894,0.7,0.09044634348648242,0.6838018951896534,0.018750000000000044,,,,,-0.09002592051285664,-0.20487804878048776,-0.09002592051285664,False,60日价格动量(财报缺失后备),0.34615384615384615,0.46098905268120793,False,False
600489,中金黄金,贵金属,申万二级行业,2026-09-24,22.12,1855516730.2,0.15872184389732857,,,2026-09-25,-28913985029.672485,-0.6997432463010703,0.144,False,0.825,0.8128719820494503,-0.18212673505377477,0.1605456453305354,-0.0744769874476986,False,0.19293536321905808,-3126923151.4937153,0.4,-0.3101960961388429,0.7293536321905809,-0.09824704443538523,,,,,0.1730807709268238,0.15872184389732857,0.1730807709268238,False,60日价格动量(财报缺失后备),0.5454545454545454,0.46089747716840085,False,False
002540,亚太科技,工业金属,申万二级行业,2026-09-24,4.98,50942687.05,0.03319502074688807,,,2026-09-25,-51770243212.24646,-0.4182808108542177,0.064,False,0.7440832138169502,0.5948866115472276,-0.05704321173498221,0.09933774834437092,-0.002004008016032066,False,0.2614181210980911,-67036501.61177937,0.5,-0.27093969716706107,1.114181210980911,-0.03675048355899413,,,,,-0.017340273754204893,0.03319502074688807,-0.017340273754204893,True,60日价格动量(财报缺失后备),0.6379310344827587,0.4608622530402975,False,False
002004,华邦健康,化学制药,申万二级行业,2026-09-24,4.3,133369014.0,0.036144578313252795,,,2026-09-25,-4093605233.727665,-0.02346385864106228,0.352,False,0.6598039215686274,0.7367736540095345,-0.057033885411547344,0.05392156862745101,-0.02050113895216399,False,0.18882230260004668,-236693443.12636787,0.3,-0.31744305234183984,0.9882230260004669,-0.016018306636155666,,,,,0.010924657779919534,0.036144578313252795,0.010924657779919534,True,60日价格动量(财报缺失后备),0.5804195804195804,0.460651647225495,False,False
000066,中国长城,计算机设备,申万二级行业,2026-09-24,14.8,1525264948.85,-0.144013880855986,,,2026-09-25,-20528771371.292343,-0.2270925198976598,0.168,False,1.0,0.6671031830124599,0.16618043563844745,0.12547528517110274,0.06705118961788048,False,0.27725305599835703,-6763750123.300241,0.4,-0.2946476697253695,1.5725305599835704,0.06551475881929436,,,,,-0.012777749521953428,-0.144013880855986,-0.012777749521953428,False,60日价格动量(财报缺失后备),0.23076923076923078,0.460605571691897,False,False
300244,迪安诊断,医疗服务,申万二级行业,2026-09-24,20.79,507812237.9,0.02363367799113747,,,2026-09-25,-6320388902.530544,-0.04371507064378111,0.288,False,0.6998743351432173,0.007837083376045717,0.019640067105148682,0.3275862068965516,0.12805208898535003,False,0.49191286838919834,337396111.716182,0.5,0.2925530086856705,1.0680650734691788,0.22366097704532084,,,,,0.2527924517607265,0.02363367799113747,0.2527924517607265,False,60日价格动量(财报缺失后备),0.28,0.4605405176402648,False,False
002559,亚威股份,通用设备,申万二级行业,2026-09-24,8.97,165797737.9,-0.4167750325097529,,,2026-09-25,-49822412132.50315,-0.21229061789135714,0.072,False,1.0,0.6017584592172163,0.1622539593767185,0.05405405405405417,-0.012114537444933848,False,0.5510075907846269,251820974.37480748,0.7,0.34625591801217687,0.9945688062316563,-0.00111358574610243,,,,,-0.06461437824679259,-0.4167750325097529,-0.06461437824679259,False,60日价格动量(财报缺失后备),0.03349282296650718,0.4605251034377835,False,False
600475,华光环能,电力,申万二级行业,2026-09-24,14.74,130474752.1,-0.004054054054054124,,,2026-09-25,-18953523287.00121,-0.17662275598445976,0.192,False,0.711170162396715,0.4885128905282321,-0.048779320951351575,0.18870967741935485,0.0013586956521738358,False,0.24220034557265435,-157074757.02055827,0.6,-0.1942590026908416,0.6220034557265435,-0.006738544474393482,,,,,-0.008060053066341253,-0.004054054054054124,-0.008060053066341253,True,60日价格动量(财报缺失后备),0.5925925925925926,0.4604492832603262,False,False
300053,航宇微,半导体,申万二级行业,2026-09-24,12.13,146057630.2,-0.2347003154574132,,,2026-09-25,-364353111926.20996,-0.3806820502466249,0.008,False,1.0,0.5834014271258086,0.13524795642976484,0.05662020905923337,0.023628691983122563,False,0.19847865183511315,-148840297.98437268,0.3,0.035955889707612744,1.0416394507019962,0.019327731092436906,,,,,-0.197755783789262,-0.2347003154574132,-0.197755783789262,False,60日价格动量(财报缺失后备),0.4367816091954023,0.4604150652576289,False,False
688557,兰剑智能,通用设备,申万二级行业,2026-09-24,21.28,29522961.7,-0.3535844471445929,,,2026-09-25,-49822412132.50315,-0.21229061789135714,0.072,False,1.0,0.22991425451301306,0.18330884482849127,0.21184510250569488,0.0986060918946825,False,0.5313024954771483,62563897.30259788,0.7,0.3839723849810892,0.7522580927941751,0.12295514511873362,,,,,-0.06461437824679259,-0.3535844471445929,-0.06461437824679259,False,60日价格动量(财报缺失后备),0.05263157894736842,0.46038351860612914,False,False
603726,朗迪集团,家电零部件Ⅱ,申万二级行业,2026-09-24,24.38,73353066.75,-0.2435618988520012,,,2026-09-25,-3273555071.950993,-0.11371824907437034,0.408,False,1.0,0.5912477108301034,0.22291135555395752,0.1549028896257698,0.022651006711409405,False,0.2116258005571471,-191525688.9910951,0.4,0.05195534066609201,0.8539115967721608,0.05815972222222232,,,,,0.02358791277242802,-0.2435618988520012,0.02358791277242802,False,60日价格动量(财报缺失后备),0.10344827586206896,0.46036851910480403,False,False
301468,博盈特焊,通用设备,申万二级行业,2026-09-24,32.11,131578474.3,-0.2114440078585461,,,2026-09-25,-49822412132.50315,-0.21229061789135714,0.072,False,0.863257756088707,0.1212751609649847,0.090470427147425,0.20896084337349397,0.004065040650406582,False,0.49364178450686697,110552023.84058772,0.6,0.20611249717597974,0.889082848457494,0.051752374713396554,,,,,-0.06461437824679259,-0.2114440078585461,-0.06461437824679259,False,60日价格动量(财报缺失后备),0.2535885167464115,0.46018490213993174,False,False
