template,breadth,sector_flow,stock_flow,max_vol_rank,momentum,horizon,train_trades,train_mean_return,train_win_rate,validation_trades,validation_days,validation_mean_return,validation_win_rate,validation_profit_factor,validation_max_drawdown,selection_objective,pullback_rank,breakout,volume_ratio
trend_pullback,0.5,-0.03,-0.03,1.0,0.35,3,55,-0.0027169277320798356,0.41818181818181815,30,6,0.013459075141157776,0.6333333333333333,2.5834835680521984,-0.0025739503524364604,0.014027727522597731,0.7,,
trend_pullback,0.5,-0.03,0.03,1.0,0.35,3,55,-0.0027169277320798356,0.41818181818181815,30,6,0.013459075141157776,0.6333333333333333,2.5834835680521984,-0.0025739503524364604,0.014027727522597731,0.7,,
trend_pullback,0.5,0.0,0.03,1.0,0.35,3,55,-0.0010805640957161978,0.43636363636363634,30,6,0.013459075141157776,0.6333333333333333,2.5834835680521984,-0.0025739503524364604,0.014027727522597731,0.7,,
trend_pullback,0.5,-0.03,0.03,1.0,0.5,3,55,-0.003924361182607209,0.4,30,6,0.013459075141157776,0.6333333333333333,2.5834835680521984,-0.0025739503524364604,0.014027727522597731,0.7,,
trend_pullback,0.5,-0.03,-0.03,1.0,0.5,3,55,-0.003924361182607209,0.4,30,6,0.013459075141157776,0.6333333333333333,2.5834835680521984,-0.0025739503524364604,0.014027727522597731,0.7,,
trend_pullback,0.5,0.0,0.0,1.0,0.35,3,55,-0.0010805640957161978,0.43636363636363634,30,6,0.013459075141157776,0.6333333333333333,2.5834835680521984,-0.0025739503524364604,0.014027727522597731,0.7,,
trend_pullback,0.5,0.0,0.0,1.0,0.5,3,55,-0.0022879975462435716,0.41818181818181815,30,6,0.013459075141157776,0.6333333333333333,2.5834835680521984,-0.0025739503524364604,0.014027727522597731,0.7,,
trend_pullback,0.5,0.0,-0.03,1.0,0.35,3,55,-0.0010805640957161978,0.43636363636363634,30,6,0.013459075141157776,0.6333333333333333,2.5834835680521984,-0.0025739503524364604,0.014027727522597731,0.7,,
trend_pullback,0.5,0.03,-0.03,1.0,0.35,3,55,-0.0010805640957161978,0.43636363636363634,30,6,0.013459075141157776,0.6333333333333333,2.5834835680521984,-0.0025739503524364604,0.014027727522597731,0.7,,
trend_pullback,0.5,0.03,-0.03,1.0,0.5,3,55,-0.0022879975462435716,0.41818181818181815,30,6,0.013459075141157776,0.6333333333333333,2.5834835680521984,-0.0025739503524364604,0.014027727522597731,0.7,,
trend_pullback,0.5,0.03,0.03,1.0,0.5,3,55,-0.0022879975462435716,0.41818181818181815,30,6,0.013459075141157776,0.6333333333333333,2.5834835680521984,-0.0025739503524364604,0.014027727522597731,0.7,,
trend_pullback,0.5,0.03,0.0,1.0,0.5,3,55,-0.0022879975462435716,0.41818181818181815,30,6,0.013459075141157776,0.6333333333333333,2.5834835680521984,-0.0025739503524364604,0.014027727522597731,0.7,,
trend_pullback,0.5,-0.03,0.0,1.0,0.5,3,55,-0.003924361182607209,0.4,30,6,0.013459075141157776,0.6333333333333333,2.5834835680521984,-0.0025739503524364604,0.014027727522597731,0.7,,
trend_pullback,0.5,0.03,0.0,1.0,0.35,3,55,-0.0010805640957161978,0.43636363636363634,30,6,0.013459075141157776,0.6333333333333333,2.5834835680521984,-0.0025739503524364604,0.014027727522597731,0.7,,
trend_pullback,0.5,0.03,0.03,1.0,0.35,3,55,-0.0010805640957161978,0.43636363636363634,30,6,0.013459075141157776,0.6333333333333333,2.5834835680521984,-0.0025739503524364604,0.014027727522597731,0.7,,
trend_pullback,0.5,-0.03,0.0,1.0,0.35,3,55,-0.0027169277320798356,0.41818181818181815,30,6,0.013459075141157776,0.6333333333333333,2.5834835680521984,-0.0025739503524364604,0.014027727522597731,0.7,,
trend_pullback,0.5,0.0,0.03,1.0,0.5,3,55,-0.0022879975462435716,0.41818181818181815,30,6,0.013459075141157776,0.6333333333333333,2.5834835680521984,-0.0025739503524364604,0.014027727522597731,0.7,,
trend_pullback,0.5,-0.03,0.03,0.75,0.65,3,54,5.700973781222294e-05,0.5,27,6,0.01283578234465951,0.6296296296296297,2.570296540160595,-0.001053652282271278,0.01344674691123152,0.7,,
volume_breakout,0.5,-0.03,0.0,0.75,0.35,3,55,-0.00012810723859561023,0.38181818181818183,30,6,0.01387612899148172,0.5666666666666667,2.0386027774746327,-0.032209357742007616,0.01341949895359015,,-0.05,0.8
volume_breakout,0.5,-0.03,0.0,0.75,0.35,3,55,0.001861123043317602,0.4,30,6,0.01387612899148172,0.5666666666666667,2.0386027774746327,-0.032209357742007616,0.01341949895359015,,-0.05,1.1
volume_breakout,0.5,-0.03,0.03,0.75,0.35,3,55,0.001861123043317602,0.4,30,6,0.01387612899148172,0.5666666666666667,2.0386027774746327,-0.032209357742007616,0.01341949895359015,,-0.05,1.1
volume_breakout,0.5,-0.03,0.03,0.75,0.5,3,55,0.001861123043317602,0.4,30,6,0.01387612899148172,0.5666666666666667,2.0386027774746327,-0.032209357742007616,0.01341949895359015,,-0.05,1.1
