code,date,open,high,low,close,volume,amount,main_net,industry,name,ret5,ret10,ret20,ret60,ma20_gap,breakout20,vol20,amount_ratio5_20,flow5,flow10,flow_positive_ratio10,flow_z,net_return_1d,net_return_2d,net_return_3d,market_ret20,market_breadth,median_vol20,sector_flow5,mom20_rank,mom60_rank,flow10_rank,vol20_rank,ret5_industry_rank,sector_flow_rank,signal_score,strategy,horizon,net_return
300360,2026-07-27,11.74,11.93,11.71,11.91,4310998.0,51139184.0,41841150.545454696,电网设备,炬华科技,0.0008403361344537785,0.05398230088495559,0.022317596566523656,-0.18368745716244006,0.016818919149662603,-0.023770491803278615,0.01912454143763373,1.2159106134554218,0.3480161859878131,0.42786195261352183,0.7,0.7577137269250985,0.011982342954159498,0.03999592529711387,0.04424040747028873,-0.05169555380378582,0.29121540312876054,0.035215440598378785,0.2990426909523396,0.7332531087043722,0.5551537070524413,0.992579221821099,0.08523866827115925,0.152,0.952868030485359,0.9573204973926996,weak_defensive_flow,1,0.011982342954159498
600036,2026-07-28,39.17,39.59,38.95,39.59,105018681.0,4136021701.0,4136021701.0,股份制银行Ⅱ,招商银行,0.04211634640694917,0.0648197955890264,0.11521126760563383,0.02831168831168851,0.04572228532185241,0.004822335025380875,0.013220246217038576,0.9981457759953288,0.7528750657813759,0.4065138220669876,0.8,0.6947463532794528,-0.009604002001000488,0.012657128564282073,-0.01060450225112559,-0.05369553155190032,0.3138788608102688,0.03467623290189929,0.5073086101404005,0.9235860409145608,0.9172192083584488,0.9917769755314881,0.016044925792218213,1.0,0.9979943842759728,0.9912956277577216,weak_defensive_flow,1,-0.009604002001000488
601398,2026-07-28,7.77,7.97,7.73,7.97,580823797.0,4567979021.0,4567979021.0,国有大型银行Ⅱ,工商银行,0.05423280423280419,0.06266666666666665,0.12729844413012725,0.06693440428380182,0.06958330537475677,0.020486555697823317,0.01469869154916989,0.9411353963912149,0.6409240654759657,0.4736931628139828,0.7,0.5475452812186785,-0.01156264009962633,0.01334396014943966,-0.006581320049813109,-0.05369553155190032,0.3138788608102688,0.03467623290189929,0.5764176601758916,0.9338146811070999,0.9351014667470363,0.9971921379863619,0.029683112715603692,0.8333333333333334,0.9994985960689932,0.9898215002005616,weak_defensive_flow,1,-0.01156264009962633
601919,2026-07-28,15.26,15.43,15.2,15.43,93236866.0,1429744270.0,1429744270.0,航运港口,中远海控,0.0376597175521185,0.0707841776544067,0.16365007541478138,0.07451253481894149,0.07033851276359604,0.001948051948051921,0.013054760022826416,1.1863959600815124,0.6242194429185874,0.3584858784543228,0.6,0.627963748411235,-0.002884521515735326,0.006749389852279954,0.002253564547206201,-0.05369553155190032,0.3138788608102688,0.03467623290189929,0.36412840014576237,0.9612916165262736,0.9377134820172794,0.9829522663457682,0.015643802647412757,0.8235294117647058,0.9906738868832732,0.9856899318090654,weak_defensive_flow,1,-0.002884521515735326
601919,2026-07-29,15.57,15.62,15.4,15.55,84047593.0,1304920991.0,474516724.0000134,航运港口,中远海控,0.02708058124174384,0.06070941336971347,0.18161094224924024,0.10127478753541097,0.06979464070723407,0.007777057679844601,0.012554061438784897,1.0993458634463087,0.4991281244411429,0.31204827416372494,0.6,0.48243903156204193,0.011303225806451645,0.006787096774193692,0.012593548387096743,-0.060509554140127375,0.4489468405215647,0.03420156412536799,0.3234524912417542,0.9749247743229689,0.9503717098653808,0.966900702106319,0.013640922768304914,0.5882352941176471,0.9704112337011033,0.973791374122367,weak_defensive_flow,1,0.011303225806451645
601398,2026-07-29,8.03,8.04,7.88,7.95,426961546.0,3397240546.0,-424655068.2499741,国有大型银行Ⅱ,工商银行,0.046052631578947345,0.05858854860186424,0.1260623229461757,0.06711409395973145,0.06056563500533607,-0.0025094102885820924,0.014730204080137694,0.9356467368832477,0.4016503259101941,0.38747625236582517,0.6,0.37659810371459057,0.024848362720403073,0.004697229219143663,0.0009188916876572875,-0.060509554140127375,0.4489468405215647,0.03420156412536799,0.2834764799540597,0.9410230692076229,0.9391199517781796,0.9863590772316951,0.033701103309929786,0.8333333333333334,0.9401203610832497,0.966469408224674,weak_defensive_flow,1,0.024848362720403073
600690,2026-07-29,22.36,23.19,22.33,22.98,71377087.0,1636019257.0,837033108.2325577,白色家电,海尔智家,0.04835766423357657,0.09324452901998104,0.13201970443349742,0.06734788666976299,0.08830006393407674,0.023608017817372096,0.013483999988417972,0.9977106257928697,0.5243891543869907,0.3814313528271173,0.8,0.72225005819358,0.010139130434782696,0.006660869565217544,-0.005078260869565153,-0.060509554140127375,0.4489468405215647,0.03420156412536799,0.26666759600024953,0.9462387161484453,0.9393208760297368,0.9849548645937813,0.02066198595787362,0.5,0.9160481444332998,0.9625977933801404,weak_defensive_flow,1,0.010139130434782696
000333,2026-07-30,87.01,89.5,86.5,88.95,46149832.0,4071773624.0,2578789961.8666744,白色家电,美的集团,0.04930989736935243,0.08740831295843532,0.15504479937670435,0.10579313774241683,0.07709167085434743,0.01657142857142868,0.011316220354848701,0.9537707293548123,0.42618204983978625,0.41050953741047463,0.8,0.551018645067777,0.005180829789679199,-0.01435715435007474,-0.023091782553729522,-0.06797583081571001,0.4319502906394067,0.03414306723774196,0.4001695081034065,0.9635197434355582,0.9668741216623168,0.9901783924634195,0.006213670074163159,0.4,0.99789536981359,0.9935758669071958,weak_defensive_flow,1,0.005180829789679199
600036,2026-07-30,39.66,40.55,39.55,40.55,137457952.0,5517774480.0,5517774480.0,股份制银行Ⅱ,招商银行,0.042148547931123215,0.07645341120254834,0.1079234972677594,0.06710526315789456,0.06029704005857117,0.011979036685799693,0.013368186858841034,1.103150206026723,0.5211158810180857,0.42637326522714153,0.8,0.6915023943718043,-0.007371643663739168,0.011197992471769159,-0.01590363864491846,-0.06797583081571001,0.4319502906394067,0.03414306723774196,0.3649008283559816,0.9218280216476248,0.9560329251154387,0.9929845660452996,0.019242333132892364,0.4444444444444444,0.993185007015434,0.9893766285828822,weak_defensive_flow,1,-0.007371643663739168
601398,2026-07-30,7.94,8.16,7.91,8.15,572360496.0,4625457210.0,4255420633.200008,国有大型银行Ⅱ,工商银行,0.06119791666666674,0.10284167794316645,0.15602836879432624,0.10733695652173902,0.07932724142497682,0.013681592039801238,0.015211284188041211,1.034878361450328,0.49321563603024876,0.5229942418890754,0.7,0.6099229855585074,0.0009094102885823143,-0.002854705144291046,-0.031600000000000024,-0.06797583081571001,0.4319502906394067,0.03414306723774196,0.4196983419978261,0.9645219482862297,0.9670748845613331,0.9989977951493285,0.037682902385247546,0.6666666666666666,0.9994988975746643,0.9881439166165564,weak_defensive_flow,1,0.0009094102885823143
